Time,Door,Car,Speed
18:10,1664,31.0,100.0
18:10,1621,31.0,86.0
18:10,1664,31.0,86.0
18:10,1906,31.0,82.0
18:10,1960,31.0,68.0
18:10,1906,31.0,79.0
18:10,1960,31.0,64.0
18:10,3126,31.0,0.0
18:10,3185,31.0,88.0
18:10,3126,31.0,79.0
18:10,3185,31.0,90.0
18:10,3590,31.0,0.0
18:10,3640,31.0,84.0
18:10,3590,31.0,0.0
18:10,3640,31.0,79.0
03:50,0029,31.0,90.0
03:50,0005,31.0,90.0
03:50,0061,31.0,100.0
03:50,0017,31.0,90.0
03:50,0099,31.0,100.0
03:50,0029,31.0,93.0
03:50,0147,31.0,93.0
03:50,0174,31.0,115.0
03:50,0061,31.0,93.0
03:50,0153,31.0,97.0
03:50,0099,31.0,95.0
03:50,0213,31.0,99.0
03:50,0147,31.0,108.0
03:50,0153,31.0,93.0
03:50,0233,31.0,100.0
03:50,0256,31.0,100.0
03:50,0182,31.0,100.0
03:50,0293,31.0,95.0
03:50,0248,31.0,100.0
03:50,0340,31.0,102.0
03:50,0264,31.0,100.0
03:50,0293,31.0,104.0
03:50,0305,31.0,100.0
03:50,0376,31.0,97.0
03:50,0447,31.0,99.0
03:50,0413,31.0,99.0
03:50,0339,31.0,100.0
03:50,0467,31.0,97.0
03:50,0376,31.0,93.0
03:50,0492,31.0,108.0
03:50,0413,31.0,104.0
03:50,0511,31.0,109.0
03:50,0467,31.0,100.0
03:50,0532,31.0,104.0
03:50,0492,31.0,104.0
03:50,0532,31.0,3.0
03:50,0557,31.0,104.0
03:50,0511,31.0,97.0
03:50,0584,31.0,108.0
03:50,0532,31.0,100.0
03:50,0557,31.0,0.0
03:50,0557,31.0,97.0
03:50,0633,31.0,104.0
03:50,0608,31.0,126.0
03:50,0664,31.0,100.0
03:50,0578,31.0,97.0
03:50,0579,31.0,97.0
03:50,0681,31.0,97.0
03:50,0633,31.0,99.0
03:50,0699,31.0,93.0
03:50,0664,31.0,104.0
03:50,0750,31.0,102.0
03:50,0681,31.0,97.0
03:50,0880,31.0,100.0
03:50,0699,31.0,109.0
